domain,label,predicted_verdict,predicted_label,correct,confidence,signals_triggered,signal_1_similarity,signal_2_cadence,signal_3_whois,signal_4_hosting,signal_5_link_network,signal_6_wayback,signal_7_authors,error
latimes.com,0,ORGANIC,0,True,0.9,0,0,0,0,0,0,0,0,
bbc.co.uk,0,ORGANIC,0,True,0.9,0,0,0,0,0,0,0,0,
huffpost.com,0,ORGANIC,0,True,0.9,0,0,0,0,0,0,0,0,
prisonplanet.com,1,ORGANIC,0,False,0.9,0,0,0,0,0,0,0,0,
breitbart.com,1,ORGANIC,0,False,0.9,0,0,0,0,0,0,0,0,
globalresearch.ca,1,ORGANIC,0,False,0.9,0,0,0,0,0,0,0,0,
empirenews.net,1,ORGANIC,0,False,0.9,0,0,0,0,0,0,0,0,
foreignpolicy.com,0,ORGANIC,0,True,0.9,0,0,0,0,0,0,0,0,
wnd.com,1,ORGANIC,0,False,0.9,0,0,0,0,0,0,0,0,
beforeitsnews.com,1,ORGANIC,0,False,0.9,0,0,0,0,0,0,0,0,
americanews.com,1,ORGANIC,0,False,0.9,0,0,0,0,0,0,0,0,
waterfordwhispersnews.com,1,ORGANIC,0,False,0.9,0,0,0,0,0,0,0,0,
axios.com,0,ORGANIC,0,True,0.9,0,0,0,0,0,0,0,0,
newsbiscuit.com,1,ORGANIC,0,False,0.9,0,0,0,0,0,0,0,0,
miamiherald.com,0,ORGANIC,0,True,0.9,0,0,0,0,0,0,0,0,
activistpost.com,1,ORGANIC,0,False,0.9,0,0,0,0,0,0,0,0,
salon.com,0,ORGANIC,0,True,0.9,0,0,0,0,0,0,0,0,
motherjones.com,0,ORGANIC,0,True,0.9,0,0,0,0,0,0,0,0,
investmentwatchblog.com,1,ORGANIC,0,False,0.9,0,0,0,0,0,0,0,0,
thespoof.com,1,ORGANIC,0,False,0.9,0,0,0,0,0,0,0,0,
apnews.com,0,ORGANIC,0,True,0.9,0,0,0,0,0,0,0,0,
denverpost.com,0,ORGANIC,0,True,0.9,0,0,0,0,0,0,0,0,
clickhole.com,1,ORGANIC,0,False,0.9,0,0,0,0,0,0,0,0,
21stcenturywire.com,1,ORGANIC,0,False,0.9,1,0,0,1,0,0,0,0,
newsweek.com,0,ORGANIC,0,True,0.9,0,0,0,0,0,0,0,0,
libertywriters.com,1,ORGANIC,0,False,0.9,1,0,0,1,0,0,0,0,
veteranstoday.com,1,ORGANIC,0,False,0.9,0,0,0,0,0,0,0,0,
statesman.com,0,ORGANIC,0,True,0.9,0,0,0,0,0,0,0,0,
truthfeed.com,1,ORGANIC,0,False,0.9,1,0,0,1,0,0,0,0,
thehill.com,0,ORGANIC,0,True,0.9,0,0,0,0,0,0,0,0,
zerohedge.com,1,ORGANIC,0,False,0.9,0,0,0,0,0,0,0,0,
newslo.com,1,ORGANIC,0,False,0.9,0,0,0,0,0,0,0,0,
bostonglobe.com,0,ORGANIC,0,True,0.9,0,0,0,0,0,0,0,0,
thedailymash.co.uk,1,ORGANIC,0,False,0.9,0,0,0,0,0,0,0,0,
tampabay.com,0,ORGANIC,0,True,0.9,0,0,0,0,0,0,0,0,
thefreethoughtproject.com,1,ORGANIC,0,False,0.9,0,0,0,0,0,0,0,0,
politico.com,0,ORGANIC,0,True,0.9,0,0,0,0,0,0,0,0,
bloomberg.com,0,ORGANIC,0,True,0.9,0,0,0,0,0,0,0,0,
duffelblog.com,1,ORGANIC,0,False,0.9,0,0,0,0,0,0,0,0,
rightwingnews.com,1,ORGANIC,0,False,0.9,0,0,0,0,0,0,0,0,
uspoln.com,1,ORGANIC,0,False,0.9,0,0,0,0,0,0,0,0,
babylonbee.com,1,ORGANIC,0,False,0.9,0,0,0,0,0,0,0,0,
politicops.com,1,ORGANIC,0,False,0.9,0,0,0,0,0,0,0,0,
jsonline.com,0,ORGANIC,0,True,0.9,0,0,0,0,0,0,0,0,
burrardstreetjournal.com,1,ORGANIC,0,False,0.9,0,0,0,0,0,0,0,0,
abcnews.com.co,1,ORGANIC,0,False,0.9,0,0,0,0,0,0,0,0,
economist.com,0,ORGANIC,0,True,0.9,0,0,0,0,0,0,0,0,
theonion.com,1,ORGANIC,0,False,0.9,0,0,0,0,0,0,0,0,
foxnews.com,0,ORGANIC,0,True,0.9,0,0,0,0,0,0,0,0,
dcgazette.com,1,ORGANIC,0,False,0.9,0,0,0,0,0,0,0,0,
nationalreport.net,1,ORGANIC,0,False,0.9,1,0,0,1,0,0,0,0,
naturalnews.com,1,ORGANIC,0,False,0.9,0,0,0,0,0,0,0,0,
thepoliticalinsider.com,1,ORGANIC,0,False,0.9,1,0,0,1,0,0,0,0,
wakingtimes.com,1,ORGANIC,0,False,0.9,0,0,0,0,0,0,0,0,
realstory.news,1,ORGANIC,0,False,0.9,0,0,0,0,0,0,0,0,
thenation.com,0,ORGANIC,0,True,0.9,0,0,0,0,0,0,0,0,
usapoliticsnow.com,1,ORGANIC,0,False,0.9,0,0,0,0,0,0,0,0,
wsj.com,0,ORGANIC,0,True,0.9,0,0,0,0,0,0,0,0,
realfarmacy.com,1,ORGANIC,0,False,0.9,0,0,0,0,0,0,0,0,
dallasnews.com,0,ORGANIC,0,True,0.9,0,0,0,0,0,0,0,0,
theguardian.com,0,ORGANIC,0,True,0.9,0,0,0,0,0,0,0,0,
baltimoresun.com,0,ORGANIC,0,True,0.9,0,0,0,0,0,0,0,0,
reuters.com,0,ORGANIC,0,True,0.9,0,0,0,0,0,0,0,0,
thedailywire.com,1,ORGANIC,0,False,0.9,1,0,0,1,0,0,0,0,
nytimes.com,0,ORGANIC,0,True,0.9,0,0,0,0,0,0,0,0,
theatlantic.com,0,ORGANIC,0,True,0.9,0,0,0,0,0,0,0,0,
conspiracydailyupdate.com,1,ORGANIC,0,False,0.9,0,0,0,0,0,0,0,0,
time.com,0,ORGANIC,0,True,0.9,0,0,0,0,0,0,0,0,
cnn.com,0,ORGANIC,0,True,0.9,0,0,0,0,0,0,0,0,
post-gazette.com,0,ORGANIC,0,True,0.9,0,0,0,0,0,0,0,0,
newrepublic.com,0,ORGANIC,0,True,0.9,0,0,0,0,0,0,0,0,
sgtreport.com,1,ORGANIC,0,False,0.9,1,0,0,1,0,0,0,0,
cbsnews.com,0,ORGANIC,0,True,0.9,0,0,0,0,0,0,0,0,
politicot.com,1,ORGANIC,0,False,0.9,0,0,0,0,0,0,0,0,
courant.com,0,ORGANIC,0,True,0.9,0,0,0,0,0,0,0,0,
npr.org,0,ORGANIC,0,True,0.9,0,0,0,0,0,0,0,0,
slate.com,0,ORGANIC,0,True,0.9,0,0,0,0,0,0,0,0,
reductress.com,1,ORGANIC,0,False,0.9,0,0,0,0,0,0,0,0,
azcentral.com,0,ORGANIC,0,True,0.9,0,0,0,0,0,0,0,0,
nbcnews.com,0,ORGANIC,0,True,0.9,0,0,0,0,0,0,0,0,
usatoday.com,0,ORGANIC,0,True,0.9,0,0,0,0,0,0,0,0,
chicagotribune.com,0,ORGANIC,0,True,0.9,0,0,0,0,0,0,0,0,
thesleuthjournal.com,1,ORGANIC,0,False,0.9,0,0,0,0,0,0,0,0,
newsthump.com,1,ORGANIC,0,False,0.9,0,0,0,0,0,0,0,0,
yournewswire.com,1,ORGANIC,0,False,0.9,1,0,0,1,0,0,0,0,
bbc.com,0,ORGANIC,0,True,0.9,0,0,0,0,0,0,0,0,
worldnewsdailyreport.com,1,ORGANIC,0,False,0.9,1,0,0,1,0,0,0,0,
infowars.com,1,ORGANIC,0,False,0.9,0,0,0,0,0,0,0,0,
huzlers.com,1,ORGANIC,0,False,0.9,0,0,0,0,0,0,0,0,
seattletimes.com,0,ORGANIC,0,True,0.9,0,0,0,0,0,0,0,0,
startribune.com,0,ORGANIC,0,True,0.9,0,0,0,0,0,0,0,0,
propublica.org,0,ORGANIC,0,True,0.9,0,0,0,0,0,0,0,0,
sfgate.com,0,ORGANIC,0,True,0.9,0,0,0,0,0,0,0,0,
ft.com,0,ORGANIC,0,True,0.9,0,0,0,0,0,0,0,0,
cbsnews.com.co,1,ORGANIC,0,False,0.9,0,0,0,0,0,0,0,0,
abcnews.go.com,0,ORGANIC,0,True,0.9,0,0,0,0,0,0,0,0,
vox.com,0,ORGANIC,0,True,0.9,0,0,0,0,0,0,0,0,
conservativedailypost.com,1,ORGANIC,0,False,0.9,0,0,0,0,0,0,0,0,
oregonlive.com,0,ORGANIC,0,True,0.9,0,0,0,0,0,0,0,0,
washingtonpost.com,0,ORGANIC,0,True,0.9,0,0,0,0,0,0,0,0,
